Date,AMZN_price,GOOGL_price,HPQ_price,IBM_price,QCOM_price,AMZN_volume,GOOGL_volume,HPQ_volume,IBM_volume,QCOM_volume
2021-09-10,174.28399658203125,142.72825622558594,28.27999973297119,132.1080322265625,144.2699966430664,47946000,36840000,7346300,4157955,6263300
2021-09-13,173.39899444580078,142.0999984741211,28.295000076293945,132.170166015625,143.37999725341797,51380000,22094000,8211300,4334729,4312800
2021-09-14,173.11299896240234,142.55650329589844,27.979999542236328,130.93212127685547,142.71499633789062,38738000,19674000,6591300,4659198,6442100
2021-09-15,172.1857452392578,142.8990020751953,27.729999542236328,130.72179412841797,139.26000213623047,59150000,27408000,7104500,3403579,11289100
2021-09-16,173.46725463867188,143.3507537841797,28.010000228881836,130.81261444091797,138.14000701904297,51672000,26190000,6107400,2765624,6719900
2021-09-17,173.7385025024414,141.95999908447266,27.704999923706055,129.52677154541016,135.56999969482422,92332000,53384000,13268800,5890340,14550500
2021-09-20,168.10025024414062,137.66100311279297,27.054999351501465,128.08795547485352,131.86499786376953,93382000,46518000,8460700,4990152,9647100
2021-09-21,167.80225372314453,139.1447525024414,27.140000343322754,128.38909912109375,132.59500122070312,55618000,25332000,8719100,4261927,6175300
2021-09-22,168.25125122070312,139.71924591064453,27.480000495910645,128.50860214233398,132.73500061035156,48228000,25056000,7844300,3767901,5163000
2021-09-23,170.22525024414062,141.04900360107422,27.969999313354492,130.2342300415039,134.19000244140625,47588000,20952000,6323200,3151807,5918900
2021-09-24,170.56649780273438,141.28575134277344,27.994999885559082,131.56310272216797,133.6750030517578,42324000,22984000,4292900,3100762,4554600
2021-09-27,168.87950134277344,141.0030059814453,28.414999961853027,132.19407653808594,133.02999877929688,72690000,21882000,8797800,3459017,4319500
2021-09-28,166.4822540283203,137.2282485961914,28.9950008392334,132.3613739013672,131.22000122070312,88616000,45772000,11729800,4513072,8851700
2021-09-29,166.229248046875,135.50800323486328,27.585000038146973,132.1080322265625,130.1699981689453,51246000,30848000,11513300,3947499,7037200
2021-09-30,165.0459976196289,134.54924774169922,27.640000343322754,133.3986587524414,129.88999938964844,56848000,37996000,10304100,6090230,6976800
2021-10-01,164.12774658203125,135.49175262451172,27.80500030517578,135.91778564453125,128.24500274658203,56712000,35360000,7473400,6907889,6863700
2021-10-04,161.40599822998047,133.5052490234375,28.2450008392334,137.83460235595703,127.85499572753906,90462000,51202000,7881600,7689251,8470300
2021-10-05,161.57975006103516,135.63275146484375,28.22000026702881,137.4952163696289,127.2300033569336,65384000,32404000,6966900,7297524,9244300
2021-10-06,161.5739974975586,136.1500015258789,27.76499938964844,135.8795394897461,127.17000198364258,50660000,24364000,8765000,5573506,8513700
2021-10-07,165.22025299072266,139.34650421142578,28.149999618530273,136.1998062133789,129.15499877929688,48182000,25110000,7714800,3999695,8010600
2021-10-08,165.24075317382812,139.7742462158203,28.094999313354492,136.0898666381836,127.39999771118164,39964000,26526000,7211700,3902940,6920500
2021-10-11,163.26725006103516,139.7854995727539,27.84500026702881,136.94072723388672,126.05500030517578,40684000,17954000,7319100,2921792,6288200
2021-10-12,162.59524536132812,137.6334991455078,27.135000228881836,135.08604431152344,123.81999969482422,36392000,36332000,15261700,3293436,10531500
2021-10-13,163.73675537109375,137.2594985961914,26.390000343322754,134.35468292236328,124.91999816894531,48402000,19654000,12821900,3013003,12373800
2021-10-14,165.08450317382812,140.08124542236328,27.15000057220459,136.1998062133789,127.64500045776367,42190000,31894000,7555300,4410668,10637900
2021-10-15,167.8604965209961,141.23650360107422,28.11500072479248,137.4952163696289,129.57999420166016,103598000,30274000,14068400,3371049,7609700
2021-10-18,170.85675048828125,141.93275451660156,28.510000228881836,137.04589080810547,129.2550048828125,63482000,20396000,8972100,6437189,5290000
2021-10-19,171.91725158691406,143.13125610351562,28.84500026702881,135.49713134765625,131.56000518798828,47722000,20164000,8696400,4539117,7330700
2021-10-20,171.58074951171875,142.46125030517578,28.899999618530273,135.22943878173828,132.13499450683594,42796000,23288000,11236500,6474008,4804100
2021-10-21,171.08200073242188,141.3280029296875,30.059999465942383,125.15296173095703,132.32999420166016,37628000,26292000,21188500,32913959,4579200
2021-10-22,169.02850341796875,138.31949615478516,30.65499973297119,122.78202819824219,132.55999755859375,62782000,50588000,11161000,12114981,5216200
2021-10-25,166.1374969482422,136.71199798583984,30.614999771118164,122.17495346069336,132.23500061035156,44520000,34412000,7640300,6667204,4876300
2021-10-26,169.00250244140625,139.1937484741211,30.385000228881836,121.9216079711914,132.43000030517578,53966000,49236000,8680700,8912861,5802200
2021-10-27,170.21125030517578,144.02749633789062,29.979999542236328,120.88431930541992,131.43499755859375,54044000,85782000,7504800,7294176,5090400
2021-10-28,171.625,145.8925018310547,30.195000648498535,119.94741821289062,132.8499984741211,114174000,36206000,7023000,6802138,5016700
2021-10-29,166.20349884033203,146.4457550048828,30.390000343322754,120.0908203125,133.06499481201172,129722000,43320000,7772500,6188973,5251100
2021-11-01,166.6969985961914,145.63574981689453,30.8100004196167,119.57456970214844,133.65499877929688,72178000,46924000,8312500,6177153,6903000
2021-11-02,165.36675262451172,145.4722442626953,31.1899995803833,120.49713134765626,134.92499542236328,52552000,33482000,8487500,4722062,7321900
2021-11-03,167.31100463867188,145.6300048828125,31.0649995803833,120.92256164550781,136.94499969482422,67944000,27494000,6253200,5670784,13216000
2021-11-04,171.59075164794922,148.020751953125,31.380000114440918,121.61999893188477,156.44000244140625,107060000,38412000,5267000,7208700,48321500
2021-11-05,176.08074951171875,149.2622528076172,31.770000457763672,122.5999984741211,162.2300033569336,99940000,38354000,8504100,6790500,27226600
2021-11-08,176.67150115966797,149.5227508544922,31.899999618530273,124.15499877929688,164.49500274658203,61480000,23052000,7662000,5625300,14541400
2021-11-09,177.3800048828125,148.5397491455078,31.820000648498535,121.58000183105469,166.95000457763672,85898000,19530000,4536900,7236600,12353900
2021-11-10,176.7135009765625,146.3037567138672,31.764999389648438,121.18000030517578,162.5749969482422,80548000,29970000,6744800,6270300,11327100
2021-11-11,175.26775360107422,146.56800079345703,31.80500030517578,120.93500137329102,163.4749984741211,45288000,16518000,4589900,4643300,7624200
2021-11-12,174.69449615478516,147.13050079345703,31.675000190734863,119.70999908447266,165.1750030517578,53788000,22360000,6016700,5418300,7371000
2021-11-15,177.99224853515625,148.56224822998047,31.6299991607666,119.23500061035156,167.875,58594000,23508000,7091100,5046300,12350200
2021-11-16,177.54125213623047,148.0374984741211,31.44499969482422,119.15999984741211,175.3949966430664,44342000,18904000,5973300,4750800,33338200
2021-11-17,178.31500244140625,147.89974975585938,31.085000038146973,118.55500030517578,182.4800033569336,51206000,19594000,6997200,4043300,21678900
2021-11-18,181.6300048828125,149.23250579833984,31.054999351501465,117.33499908447266,185.73500061035156,114070000,35608000,6979300,5046900,15542600
2021-11-19,185.94674682617188,149.93275451660156,31.505000114440918,115.91499710083008,184.45000457763672,98734000,33682000,7931600,5380200,11889100
2021-11-22,182.0240020751953,147.9885025024414,31.994999885559082,117.0,184.87499999999997,96844000,30594000,10940100,6416200,16062800
2021-11-23,178.71900177001953,145.38750457763672,32.18499946594238,116.9900016784668,179.1750030517578,73804000,27218000,13042700,4912800,10696200
2021-11-24,178.7622528076172,145.31124877929688,35.10499954223633,116.67499923706055,179.05500030517578,46560000,18040000,34001100,3220800,7886200
2021-11-26,178.44125366210938,143.1999969482422,34.82000160217285,115.44999694824219,177.65499877929688,59826000,30470000,9289800,3322000,7835900
2021-11-29,178.1875,145.09549713134766,35.375,118.56999969482422,181.53500366210938,65312000,32596000,16670700,8949800,10440500
2021-11-30,176.94449615478516,143.80075073242188,35.44499969482422,117.84499740600586,183.5749969482422,80022000,42068000,20479200,9252700,19309200
2021-12-01,175.03700256347656,143.4312515258789,37.02499961853027,117.88999938964844,179.23500061035156,74916000,34020000,24511000,5958300,10637700
2021-12-02,172.91124725341797,142.03949737548828,37.290000915527344,117.27000045776367,174.5500030517578,64726000,29194000,18331200,5267100,13101400
2021-12-03,170.2117462158203,142.35049438476562,37.81500053405762,118.36000061035156,176.99000549316406,80712000,41230000,16219000,6630100,12111800
2021-12-06,170.31499481201172,142.0012435913086,37.56999969482422,120.2750015258789,174.625,68860000,30618000,12219500,4785600,8577500
2021-12-07,175.41699981689453,146.3792495727539,37.34000015258789,121.07500076293945,181.63999938964844,66410000,32240000,10699300,5194000,9910100
2021-12-08,175.96524810791016,147.39950561523438,37.09499931335449,122.44999694824219,182.25,45254000,24270000,10980600,5483900,4799400
2021-12-09,175.55449676513672,148.10750579833984,36.150001525878906,122.86999893188477,184.6749954223633,46062000,23270000,14452800,4601100,9398900
2021-12-10,173.2135009765625,147.8407440185547,36.41499900817871,124.34500122070312,183.3499984741211,60690000,24458000,9650500,4966900,6854800
2021-12-13,170.61500549316406,146.7437515258789,35.82000160217285,122.57500076293945,187.2050018310547,62170000,27070000,10614700,6847500,16346800
2021-12-14,167.96949768066406,142.84749603271484,35.35000038146973,123.66500091552734,181.65499877929688,55976000,38446000,11187100,5716100,8542800
2021-12-15,169.3975067138672,144.19949340820312,35.82500076293945,123.5,184.87999725341797,75794000,36370000,9127000,4990000,11082000
2021-12-16,171.1632537841797,145.64199829101562,36.59499931335449,125.06000137329102,184.3949966430664,60876000,33650000,12380000,7280500,14873000
2021-12-17,168.25599670410156,142.56725311279297,36.885000228881836,126.92499923706055,177.56999969482422,85542000,50416000,30029500,10379000,16232300
2021-12-20,166.73725128173828,140.5477523803711,35.885000228881836,125.9499969482422,175.27000427246094,57372000,27192000,9298300,4941400,6306400
2021-12-21,168.1820068359375,142.18575286865234,36.68000030517578,128.5,177.18499755859375,55956000,28756000,9113800,4856000,7702400
2021-12-22,170.27525329589844,144.78375244140625,36.904998779296875,128.69499588012695,179.57500457763672,55036000,26322000,6947900,3923200,5227200
2021-12-23,171.0625,147.34774780273438,37.579999923706055,130.24000549316406,182.54500579833984,36788000,26384000,6620900,3649000,4918900
2021-12-27,171.0792465209961,147.75674438476562,37.85999870300293,130.79999542236328,184.71500396728513,58688000,15976000,5805700,4293900,4865900
2021-12-28,170.65574645996094,147.17675018310547,38.060001373291016,132.40499877929688,185.11000061035156,54638000,18200000,5220100,3445200,5399400
2021-12-29,169.90625,146.53225708007812,38.11000061035156,133.2550048828125,185.9749984741211,35754000,17788000,4626800,4239900,5417200
2021-12-30,169.70600128173828,146.64725494384766,37.94999885559082,133.8499984741211,184.41500091552732,37584000,15688000,4284700,3158100,4108400
2021-12-31,167.95425415039062,145.77525329589844,37.86000061035156,134.3000030517578,183.875,47830000,18136000,4878200,3362100,4113300
2022-01-03,168.4320068359375,144.78199768066406,37.8799991607666,134.95999908447266,184.56000518798828,63520000,28646000,7054400,4605900,5990200
2022-01-04,168.87474822998047,145.1007537841797,38.94000053405762,137.92499542236328,184.9699935913086,70726000,28400000,9633700,7300000,8484200
2022-01-05,165.7417449951172,141.09375,39.255001068115234,140.04000091552734,189.15499877929688,64302000,54618000,10956200,8956900,17141200
2022-01-06,163.36849975585938,138.24925231933594,38.564998626708984,135.45999908447266,185.73500061035156,51958000,37348000,7976400,9908100,9117700
2022-01-07,163.6372528076172,137.1074981689453,38.71000099182129,134.58499908447266,184.23999786376953,46606000,29760000,7221100,5238100,7386200
2022-01-10,158.98300170898438,135.99200439453125,38.47999954223633,134.79000091552734,176.87999725341797,87798000,44408000,10272400,5432800,11159300
2022-01-11,163.5257568359375,138.45425415039062,38.93000030517578,130.61000061035156,181.43499755859375,62806000,28730000,8085400,11105300,9591000
2022-01-12,165.6475067138672,141.65125274658203,39.28000068664551,132.9199981689453,187.32500457763672,50030000,26108000,9091800,5352000,7317500
2022-01-13,163.65625,140.62950134277344,38.9950008392334,134.80500030517578,187.43499755859375,52188000,31436000,9313900,4868300,10190900
2022-01-14,161.02525329589844,138.87025451660156,38.239999771118164,134.22000122070312,186.0499954223633,45974000,29662000,8535700,5310300,9587300
2022-01-18,158.69950103759766,136.28500366210938,37.94000053405762,132.83499908447266,182.13500213623047,67292000,34872000,8175300,5246700,10471200
2022-01-19,157.75,136.4875030517578,37.28999900817871,132.6999969482422,176.74000549316406,53242000,28648000,7245900,4103700,10082700
2022-01-20,154.67549896240234,135.29524993896484,36.635000228881836,131.72500610351562,170.63999938964844,71974000,29908000,9943700,5278200,9468500
2022-01-21,146.48524475097656,132.4759979248047,35.44499969482422,130.56999969482422,168.30500030517578,163972000,55652000,10246500,5907000,11898700
2022-01-24,140.14850616455078,127.85150146484375,34.900001525878906,126.66999816894531,164.7100067138672,155624000,76622000,13039500,13484000,17489100
2022-01-25,140.87250518798828,127.94975280761719,34.5,132.81999969482422,165.76000213623047,90824000,46960000,12091600,19715700,10708500
2022-01-26,141.25174713134766,130.0709991455078,35.52000045776367,135.10000610351562,169.2249984741211,95602000,49130000,10823200,8336000,10492200
2022-01-27,141.7967529296875,130.79249572753906,35.72500038146973,133.41500091552734,166.02999877929688,77516000,31950000,9649500,5497300,10743000
2022-01-28,140.96375274658203,130.9207534790039,35.6200008392334,133.15999603271484,162.16000366210938,74392000,34362000,9466600,5471500,10320800
2022-01-31,147.33050537109375,133.84125518798828,36.364999771118164,133.19499969482422,170.875,78308000,39986000,11087300,5859000,11273500
2022-02-01,149.6677474975586,136.08074951171875,37.10499954223633,134.2300033569336,175.2699966430664,59220000,68644000,10772400,6206400,9724600
2022-02-02,151.96924591064453,148.5345001220703,37.8799991607666,136.40999603271484,184.4499969482422,87330000,123200000,11126400,5357200,25646300
2022-02-03,141.29024505615234,146.17024993896484,38.05499839782715,137.2949981689453,184.69499969482422,225532000,71518000,6767900,6100800,36120200
2022-02-04,155.90399932861328,142.69499969482422,37.5,137.52000427246094,179.61000061035156,253456000,57998000,7085700,4142000,15708400
2022-02-07,159.97049713134766,141.5749969482422,37.44500160217285,137.04500579833984,177.5449981689453,102624000,54974000,7718100,3759000,10376300
2022-02-08,158.67150115966797,138.5070037841797,37.67499923706055,136.6500015258789,176.63499450683594,76040000,54284000,5903300,4181800,10163900
2022-02-09,162.04225158691406,141.35575103759766,38.14999961853027,137.59000396728516,181.4749984741211,68786000,40144000,8570300,5393500,9666900
2022-02-10,159.2332534790039,139.7207489013672,38.48500061035156,134.86499786376953,177.72000122070312,68268000,39330000,8800300,5978600,14362200
2022-02-11,155.86699676513672,136.2782440185547,37.760000228881836,133.54500579833984,169.51499938964844,77100000,39958000,6820400,4176200,13572000
2022-02-14,155.04924774169922,134.77825164794922,36.68000030517578,130.86000061035156,165.16500091552734,83230000,34302000,9510100,5345300,8381700
2022-02-15,156.32225036621094,136.96500396728516,37.06500053405762,130.6449966430664,171.1050033569336,56440000,26680000,8162700,4394000,11100000
2022-02-16,156.78424835205078,136.50499725341797,37.55999946594238,129.3499984741211,170.73500061035156,52704000,25022000,6762800,4875600,8340600
2022-02-17,157.42449951171875,134.7959976196289,37.06999969482422,126.67499923706055,168.73500061035156,64032000,38950000,7633700,6797000,8878900
2022-02-18,153.19625091552734,132.1332550048828,36.380001068115234,124.5250015258789,167.34500122070312,63604000,45620000,9601600,4609200,9591700
2022-02-22,150.73400115966797,130.20199584960938,35.420000076293945,123.84000015258789,166.7800064086914,66128000,44990000,10025700,5349700,9835500
2022-02-23,148.20700073242188,129.78924560546875,35.029998779296875,123.28499984741212,165.24000549316406,64244000,32786000,9701200,4086400,9749000
2022-02-24,145.62449645996094,128.97674942016602,33.810001373291016,120.45499801635742,162.0749969482422,100786000,54456000,12863700,6563200,12567000
2022-02-25,151.60175323486328,133.5114974975586,33.959999084472656,122.85499954223634,168.34500122070312,62396000,36406000,13405800,4460900,7350200
2022-02-28,152.6500015258789,134.1719970703125,34.099998474121094,122.21500015258789,170.59500122070312,57684000,38864000,19162900,6757300,10638900
2022-03-01,152.03800201416016,134.73699951171875,34.5049991607666,122.04499816894531,166.77999877929688,44874000,26496000,21951600,4873300,10723300
2022-03-02,150.87474822998047,134.16699981689453,35.68499946594238,123.22000122070312,167.42000579833984,47334000,23520000,21211300,4891400,7299400
2022-03-03,150.3925018310547,134.7324981689453,36.39999961853027,125.45499801635742,167.66500091552734,65198000,24604000,16730100,5206600,8553900
2022-03-04,145.82850646972656,132.09449768066406,36.06999969482422,125.77999877929688,162.9800033569336,60934000,30430000,14369300,4402400,9057300
2022-03-07,141.75550079345703,129.01499938964844,35.64999961853027,126.7650032043457,156.5800018310547,86934000,45112000,17613100,5047400,13416100
2022-03-08,137.13599395751953,128.46224975585938,35.96000099182129,126.58500289916992,153.11000061035156,91662000,40428000,23796900,4887600,11878400
2022-03-09,138.53900146484375,131.81800079345703,36.09499931335449,127.0050048828125,156.3249969482422,82656000,37026000,17680800,4403500,9276800
2022-03-10,146.3262481689453,132.09225463867188,35.6299991607666,124.57999801635742,152.81500244140625,135062000,27102000,15985500,5326800,8888800
2022-03-11,147.52200317382812,131.7135009765625,36.10499954223633,125.34000015258789,155.17000579833984,68900000,31526000,13238300,4119600,7394400
2022-03-14,144.16699981689453,127.84199905395508,35.15500068664551,123.92500305175781,145.87999725341797,74086000,38812000,19428100,3289200,16154200
2022-03-15,144.99250030517578,127.78750228881836,34.52499961853027,124.58000183105469,141.73999786376953,75584000,30920000,15717100,4021200,13893000
2022-03-16,150.25174713134766,131.03374481201172,35.295000076293945,125.99499893188477,147.56500244140625,84958000,35576000,16783500,4292800,11727700
2022-03-17,154.81925201416016,133.13275146484375,34.58500099182129,127.40999603271484,149.76000213623047,72934000,28264000,20448300,3671900,8602900
2022-03-18,158.80249786376953,134.25125122070312,35.875,127.64999771118164,152.5199966430664,102962000,44566000,60910300,7466000,18454200
2022-03-21,161.31849670410156,135.57125091552734,37.23500061035156,128.57000350952148,155.26000213623047,66538000,26832000,22773800,3384600,8986400
2022-03-22,163.9330062866211,138.57575225830078,37.959999084472656,128.57500076293945,157.3550033569336,64086000,35496000,17128500,2690200,7220500
2022-03-23,164.52849578857422,138.71175384521484,38.260000228881836,128.78500366210938,154.89500427246094,55812000,25154000,15259100,2924500,7245600
2022-03-24,162.0842514038086,139.68475341796875,38.27000045776367,128.58499908447266,156.0749969482422,56798000,26396000,10670700,2971100,9261000
2022-03-25,163.8092498779297,140.8862533569336,39.125,130.35499572753906,156.81999969482422,49032000,24126000,13385900,3530200,7198700
2022-03-28,166.96875,140.90699768066406,38.34000015258789,130.5500030517578,156.2750015258789,59854000,35050000,19321400,2483500,9470800
2022-03-29,169.3499984741211,142.91600036621094,39.27499961853027,131.63499450683594,158.9749984741211,66154000,34318000,10244400,5791000,10212400
2022-03-30,167.22525024414062,142.1602554321289,39.55500030517578,132.23500061035156,156.02999877929688,56168000,19884000,12195600,2622900,14777800
2022-03-31,164.72425079345703,140.56625366210938,36.45000076293945,130.94000244140625,153.08499908447266,59966000,37524000,27041100,4274000,13364200
2022-04-01,164.07324981689453,139.38924407958984,35.795000076293945,129.16500091552734,147.71499633789062,57090000,25942000,20832400,4012400,19762100
2022-04-04,165.8000030517578,142.0112533569336,36.204999923706055,129.68999481201172,150.39500427246094,49882000,25942000,18454100,2809800,12116000
2022-04-05,165.6882553100586,141.6865005493164,36.290000915527344,129.94499969482422,148.63999938964844,53728000,21418000,10609500,3107200,15946100
2022-04-06,159.7272491455078,137.43875122070312,35.10500144958496,128.37999725341797,140.2300033569336,79056000,32468000,17612900,3958100,21054200
2022-04-07,157.29524993896484,135.6959991455078,40.08500099182129,127.9900016784668,139.2050018310547,68136000,26234000,94455200,3538300,10201200
2022-04-08,155.79975128173828,134.3177490234375,39.224998474121094,128.02499771118164,138.16000366210938,46002000,25142000,33288000,3143300,12992500
2022-04-11,152.33550262451172,130.38050079345703,38.6200008392334,127.17999649047852,135.6500015258789,52112000,36884000,15432000,3202500,11210400
2022-04-12,152.74099731445312,129.1945037841797,38.64500045776367,126.45999908447266,137.8300018310547,55178000,32710000,13858500,2691000,10591300
2022-04-13,152.8125,129.0374984741211,37.94499969482422,125.79000091552734,139.53499603271484,53390000,27928000,10026000,3064900,10440800
2022-04-14,153.68450164794922,128.54025268554688,37.77000045776367,128.47999954223633,139.1199951171875,51598000,31598000,9556100,6384200,8002600
2022-04-18,152.14500427246094,127.19724655151367,38.10499954223633,126.45999908447266,137.9550018310547,46514000,20808000,12644600,4884200,8785700
2022-04-19,155.0997543334961,128.66624450683594,38.55500030517578,127.69999694824219,139.4699935913086,54926000,26490000,8618700,7971400,7213800
2022-04-20,155.60299682617188,129.44950103759766,39.385000228881836,136.47000122070312,142.43499755859375,59630000,31696000,11075100,17859200,7731600
